45,49,49,45,Grass
60,62,63,60,Grass
80,82,83,80,Grass
80,100,123,80,Grass
39,52,43,65,Fire
58,64,58,80,Fire
78,84,78,100,Fire
78,130,111,100,Fire
78,104,78,100,Fire
44,48,65,43,Water
59,63,80,58,Water
79,83,100,78,Water
79,103,120,78,Water
45,30,35,45,Bug
50,20,55,30,Bug
60,45,50,70,Bug
40,35,30,50,Bug
45,25,50,35,Bug
65,90,40,75,Bug
65,150,40,145,Bug
40,45,40,56,Normal
63,60,55,71,Normal
83,80,75,101,Normal
83,80,80,121,Normal
30,56,35,72,Normal
55,81,60,97,Normal
40,60,30,70,Normal
65,90,65,100,Normal
35,60,44,55,Poison
60,85,69,80,Poison
35,55,40,90,Electric
60,90,55,110,Electric
50,75,85,40,Ground
75,100,110,65,Ground
55,47,52,41,Poison
70,62,67,56,Poison
90,92,87,76,Poison
46,57,40,50,Poison
61,72,57,65,Poison
81,102,77,85,Poison
70,45,48,35,Fairy
95,70,73,60,Fairy
38,41,40,65,Fire
73,76,75,100,Fire
115,45,20,20,Normal
140,70,45,45,Normal
40,45,35,55,Poison
75,80,70,90,Poison
45,50,55,30,Grass
60,65,70,40,Grass
75,80,85,50,Grass
35,70,55,25,Bug
60,95,80,30,Bug
60,55,50,45,Bug
70,65,60,90,Bug
10,55,25,95,Ground
35,80,50,120,Ground
40,45,35,90,Normal
65,70,60,115,Normal
50,52,48,55,Water
80,82,78,85,Water
40,80,35,70,Fighting
65,105,60,95,Fighting
55,70,45,60,Fire
90,110,80,95,Fire
40,50,40,90,Water
65,65,65,90,Water
90,95,95,70,Water
25,20,15,90,Psychic
40,35,30,105,Psychic
55,50,45,120,Psychic
55,50,65,150,Psychic
70,80,50,35,Fighting
80,100,70,45,Fighting
90,130,80,55,Fighting
50,75,35,40,Grass
65,90,50,55,Grass
80,105,65,70,Grass
40,40,35,70,Water
80,70,65,100,Water
40,80,100,20,Rock
55,95,115,35,Rock
80,120,130,45,Rock
50,85,55,90,Fire
65,100,70,105,Fire
90,65,65,15,Water
95,75,110,30,Water
95,75,180,30,Water
25,35,70,45,Electric
50,60,95,70,Electric
52,65,55,60,Normal
35,85,45,75,Normal
60,110,70,100,Normal
65,45,55,45,Water
90,70,80,70,Water
80,80,50,25,Poison
105,105,75,50,Poison
30,65,100,40,Water
50,95,180,70,Water
30,35,30,80,Ghost
45,50,45,95,Ghost
60,65,60,110,Ghost
60,65,80,130,Ghost
35,45,160,70,Rock
60,48,45,42,Psychic
85,73,70,67,Psychic
30,105,90,50,Water
55,130,115,75,Water
40,30,50,100,Electric
60,50,70,140,Electric
60,40,80,40,Grass
95,95,85,55,Grass
50,50,95,35,Ground
60,80,110,45,Ground
50,120,53,87,Fighting
50,105,79,76,Fighting
90,55,75,30,Normal
40,65,95,35,Poison
65,90,120,60,Poison
80,85,95,25,Ground
105,130,120,40,Ground
250,5,5,50,Normal
65,55,115,60,Grass
105,95,80,90,Normal
105,125,100,100,Normal
30,40,70,60,Water
55,65,95,85,Water
45,67,60,63,Water
80,92,65,68,Water
30,45,55,85,Water
60,75,85,115,Water
40,45,65,90,Psychic
70,110,80,105,Bug
65,50,35,95,Ice
65,83,57,105,Electric
65,95,57,93,Fire
65,125,100,85,Bug
65,155,120,105,Bug
75,100,95,110,Normal
20,10,55,80,Water
95,125,79,81,Water
95,155,109,81,Water
130,85,80,60,Water
